City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavaratti,IN,2022-07-15 04:05:28,10.5669,72.642,82.09,79,71,20.33
1,Krasnolesnyy,RU,2022-07-15 04:05:28,51.8807,39.5877,60.8,85,4,9.69
2,Rikitea,PF,2022-07-15 04:05:28,-23.1203,-134.9692,66.9,79,100,14.36
3,Onega,RU,2022-07-15 04:05:29,63.9061,38.1404,63.91,68,9,3.11
4,Vostok,RU,2022-07-15 04:05:29,46.4856,135.8833,66.92,69,98,11.03
5,Upernavik,GL,2022-07-15 04:05:29,72.7868,-56.1549,38.1,90,46,9.4
6,Severo-Kurilsk,RU,2022-07-15 04:05:30,50.6789,156.125,57.81,82,78,9.89
7,Havelock,US,2022-07-15 04:05:30,34.8791,-76.9013,82.38,91,0,5.75
8,Carnarvon,AU,2022-07-15 04:05:31,-24.8667,113.6333,71.31,63,0,11.18
9,Rengo,CL,2022-07-15 04:05:31,-34.4167,-70.8667,40.82,87,100,2.62
10,Jamestown,US,2022-07-15 04:05:08,42.097,-79.2353,62.24,77,0,3.44
11,Qaanaaq,GL,2022-07-15 04:05:32,77.484,-69.3632,46.81,78,97,8.12
12,Maridi,SS,2022-07-15 04:05:32,4.9158,29.4742,66.11,96,100,2.39
13,Albany,US,2022-07-15 04:05:32,42.6001,-73.9662,62.89,84,1,4.56
14,Provideniya,RU,2022-07-15 04:05:33,64.3833,-173.3,55.51,67,0,11.18
15,Kieta,PG,2022-07-15 04:05:33,-6.2167,155.6333,83.46,72,88,7.56
16,Pangnirtung,CA,2022-07-15 04:05:33,66.1451,-65.7125,52.2,62,8,2.51
17,Vaini,TO,2022-07-15 04:05:34,-21.2,-175.2,78.96,94,40,6.91
18,Saint-Philippe,RE,2022-07-15 04:05:34,-21.3585,55.7679,66.22,81,46,13.53
19,Barrow,US,2022-07-15 04:05:35,71.2906,-156.7887,37.42,65,20,8.05
20,Tuktoyaktuk,CA,2022-07-15 04:05:35,69.4541,-133.0374,36.66,83,98,19.91
21,Ribeira Grande,PT,2022-07-15 04:05:36,38.5167,-28.7,69.71,89,16,11.25
22,Dingle,PH,2022-07-15 04:05:36,10.9995,122.6711,86.59,70,88,4.59
23,San Cristobal,VE,2022-07-15 04:05:36,7.7669,-72.225,71.78,88,51,1.43
24,Chapais,CA,2022-07-15 04:05:37,49.7834,-74.8492,53.01,68,64,2.42
25,Ushuaia,AR,2022-07-15 04:05:37,-54.8,-68.3,26.26,86,0,2.3
26,Yuci,CN,2022-07-15 04:05:37,37.6803,112.7319,82.15,65,93,4.47
27,San Carlos,VE,2022-07-15 04:05:38,9.6612,-68.5827,71.85,90,11,3.02
28,Wenatchee,US,2022-07-15 04:04:00,47.4235,-120.3103,82.69,34,0,6.91
29,Nikel,RU,2022-07-15 04:05:38,69.4128,30.222,62.78,74,33,8.57
30,Walvis Bay,NA,2022-07-15 04:05:39,-22.9575,14.5053,63.86,42,0,5.59
31,Georgetown,MY,2022-07-15 04:05:39,5.4112,100.3354,87.73,74,20,3.44
32,Mana,GF,2022-07-15 04:05:39,5.6592,-53.7767,76.05,91,92,7.18
33,Sao Joao Da Barra,BR,2022-07-15 04:05:40,-21.6403,-41.0511,71.33,86,11,13.71
34,Sterling,US,2022-07-15 04:05:40,39.0062,-77.4286,76.12,88,40,3.44
35,Dubna,RU,2022-07-15 04:05:41,56.7333,37.1667,57.52,91,34,5.99
36,Luanda,AO,2022-07-15 04:02:51,-8.8368,13.2343,65.57,92,3,4.18
37,Lompoc,US,2022-07-15 04:03:06,34.6391,-120.4579,64.78,84,20,14.0
38,Shambu,ET,2022-07-15 04:05:41,9.5667,37.1,50.88,96,99,0.34
39,Balabac,PH,2022-07-15 04:05:42,7.9868,117.0645,85.42,71,79,9.28
40,Te Anau,NZ,2022-07-15 04:05:42,-45.4167,167.7167,38.07,97,100,1.39
41,Cidreira,BR,2022-07-15 04:05:42,-30.1811,-50.2056,61.0,96,100,14.99
42,Vallenar,CL,2022-07-15 04:05:43,-28.5708,-70.7581,48.87,85,98,10.38
43,Longyearbyen,SJ,2022-07-15 04:01:43,78.2186,15.6401,51.64,71,75,16.11
44,Changji,CN,2022-07-15 04:05:43,44.0167,87.3167,77.79,31,0,4.47
45,Hervey Bay,AU,2022-07-15 04:06:44,-25.2986,152.8535,65.75,65,10,17.4
46,Richards Bay,ZA,2022-07-15 04:06:44,-28.783,32.0377,62.96,77,71,6.62
47,Hofn,IS,2022-07-15 04:06:45,64.2539,-15.2082,49.53,68,6,5.08
48,Asau,RO,2022-07-15 04:06:45,46.4333,26.4,56.32,61,18,5.39
49,Lagoa,PT,2022-07-15 04:06:45,39.05,-27.9833,68.49,90,27,14.83
50,San Patricio,US,2022-07-15 04:06:46,28.017,-97.5169,84.09,65,65,6.06
51,Saint Anthony,US,2022-07-15 04:02:07,45.0205,-93.218,76.93,74,0,5.75
52,Bengkulu,ID,2022-07-15 04:06:46,-3.8004,102.2655,83.89,68,95,2.13
53,Nathdwara,IN,2022-07-15 04:06:47,24.9333,73.8167,76.19,63,55,10.07
54,Busselton,AU,2022-07-15 04:04:08,-33.65,115.3333,63.18,66,53,12.12
55,Anadyr,RU,2022-07-15 04:06:47,64.75,177.4833,54.1,76,75,6.71
56,Fortuna,US,2022-07-15 04:06:18,40.5982,-124.1573,58.86,78,28,1.99
57,Comodoro Rivadavia,AR,2022-07-15 04:06:48,-45.8667,-67.5,35.46,93,75,11.5
58,Leningradskiy,RU,2022-07-15 04:06:48,69.3833,178.4167,36.54,76,47,7.58
59,Amli,IN,2022-07-15 04:06:48,20.2833,73.0167,77.97,92,100,14.43
60,Honningsvag,NO,2022-07-15 04:06:49,70.9821,25.9704,53.35,94,40,1.14
61,Port Alfred,ZA,2022-07-15 04:06:49,-33.5906,26.891,55.54,82,1,9.53
62,Talnakh,RU,2022-07-15 04:06:49,69.4865,88.3972,61.21,50,97,3.38
63,Ponta Delgada,PT,2022-07-15 04:06:50,37.7333,-25.6667,70.5,88,20,8.05
64,Port Elizabeth,ZA,2022-07-15 04:06:50,-33.918,25.5701,49.32,90,1,1.01
65,Sao Jose Da Coroa Grande,BR,2022-07-15 04:06:51,-8.8978,-35.1478,73.76,86,28,8.88
66,Shirhatti,IN,2022-07-15 04:06:51,15.2333,75.5833,72.3,86,100,19.89
67,East London,ZA,2022-07-15 04:06:51,-33.0153,27.9116,57.34,71,0,7.67
68,Hecun,CN,2022-07-15 04:06:51,36.5333,114.1111,87.64,58,96,4.21
69,Gambela,ET,2022-07-15 04:06:52,8.25,34.5833,69.3,96,100,2.17
70,Arraial Do Cabo,BR,2022-07-15 04:06:52,-22.9661,-42.0278,70.63,90,8,21.61
71,Osoyoos,CA,2022-07-15 04:06:52,49.0331,-119.4524,73.94,30,0,3.56
72,Bambous Virieux,MU,2022-07-15 04:06:53,-20.3428,57.7575,70.21,88,75,3.44
73,Kaitangata,NZ,2022-07-15 04:06:53,-46.2817,169.8464,40.51,96,100,7.56
74,Punta Arenas,CL,2022-07-15 04:06:53,-53.15,-70.9167,26.71,100,75,6.91
75,Bluff,NZ,2022-07-15 04:06:54,-46.6,168.3333,45.81,69,100,15.57
76,Somerset West,ZA,2022-07-15 04:06:54,-34.084,18.8211,55.87,90,21,1.01
77,Luganville,VU,2022-07-15 04:06:55,-15.5333,167.1667,81.18,74,48,5.59
78,Ponta Do Sol,PT,2022-07-15 04:06:55,32.6667,-17.1,70.0,79,2,4.21
79,Lasa,IT,2022-07-15 04:06:55,46.6166,10.7002,60.37,77,1,5.08
80,Butaritari,KI,2022-07-15 04:06:56,3.0707,172.7902,82.2,80,41,18.05
81,Lebu,CL,2022-07-15 04:06:56,-37.6167,-73.65,41.76,89,100,5.82
82,Puerto Del Rosario,ES,2022-07-15 04:06:56,28.5004,-13.8627,69.55,78,0,10.36
83,Tasiilaq,GL,2022-07-15 04:06:57,65.6145,-37.6368,46.56,78,100,12.24
84,Coihaique,CL,2022-07-15 04:06:57,-45.5752,-72.0662,31.95,74,20,2.3
85,Isangel,VU,2022-07-15 04:06:57,-19.55,169.2667,75.31,78,71,11.34
86,Alyangula,AU,2022-07-15 04:06:58,-13.8483,136.4192,74.28,58,66,15.46
87,Los Llanos De Aridane,ES,2022-07-15 04:06:58,28.6585,-17.9182,67.75,90,75,11.5
88,Izobilnyy,RU,2022-07-15 04:06:58,45.3741,41.7121,67.32,85,0,4.38
89,Iqaluit,CA,2022-07-15 04:06:58,63.7506,-68.5145,40.69,86,17,5.99
90,Rozvadiv,UA,2022-07-15 04:06:59,49.5,23.6167,61.36,91,100,5.88
91,Zhigansk,RU,2022-07-15 04:07:59,66.7697,123.3711,66.63,62,45,15.3
92,San Ramon De La Nueva Oran,AR,2022-07-15 04:08:00,-23.1322,-64.326,55.42,64,1,3.8
93,Hermanus,ZA,2022-07-15 04:08:00,-34.4187,19.2345,49.8,83,29,7.78
94,Madisonville,US,2022-07-15 04:08:00,37.3281,-87.4989,72.95,92,0,4.5
95,Bolobo,CD,2022-07-15 04:07:10,-2.1667,16.2333,71.33,64,37,2.08
96,Praia Da Vitoria,PT,2022-07-15 04:08:01,38.7333,-27.0667,69.76,89,30,16.69
97,Dakar,SN,2022-07-15 04:06:37,14.6937,-17.4441,77.88,82,100,6.44
98,Zambezi,ZM,2022-07-15 04:08:02,-13.5432,23.1047,48.04,75,0,5.23
99,Barahona,DO,2022-07-15 04:08:02,18.2085,-71.1008,78.58,77,92,0.81
100,Husavik,IS,2022-07-15 04:08:02,66.0449,-17.3389,44.96,89,20,1.63
101,Kaeo,NZ,2022-07-15 04:08:03,-35.1,173.7833,61.32,74,100,5.46
102,Cape Town,ZA,2022-07-15 04:08:03,-33.9258,18.4232,55.9,83,15,5.99
103,Taoudenni,ML,2022-07-15 04:08:04,22.6783,-3.9836,94.26,11,4,13.96
104,Chulym,RU,2022-07-15 04:08:04,55.0997,80.9572,59.65,77,79,10.92
105,Tarakan,ID,2022-07-15 04:08:04,3.3,117.6333,83.7,79,40,5.75
106,Codrington,AU,2022-07-15 04:08:05,-38.2667,141.9667,54.77,70,100,10.16
107,Kapaa,US,2022-07-15 04:08:05,22.0752,-159.319,84.18,79,75,14.97
108,Norman Wells,CA,2022-07-15 04:08:06,65.282,-126.8329,51.84,87,100,5.75
109,Klaksvik,FO,2022-07-15 04:06:16,62.2266,-6.589,49.12,88,46,17.4
110,Mokhsogollokh,RU,2022-07-15 04:08:06,61.4681,128.9203,81.23,50,44,3.8
111,Mataura,NZ,2022-07-15 04:08:06,-46.1927,168.8643,45.48,97,100,4.23
112,Narsaq,GL,2022-07-15 04:08:07,60.9167,-46.05,57.42,62,100,4.18
113,Pevek,RU,2022-07-15 04:08:07,69.7008,170.3133,32.86,84,22,12.41
114,Atuona,PF,2022-07-15 04:08:08,-9.8,-139.0333,77.68,68,9,15.95
115,Shchelkun,RU,2022-07-15 04:08:08,56.3034,60.9483,78.37,64,73,3.29
116,Victoria,HK,2022-07-15 04:04:33,22.2855,114.1577,92.97,69,96,8.01
117,Jian,CN,2022-07-15 04:08:08,27.1172,114.9793,95.02,51,100,8.25
118,Flinders,AU,2022-07-15 04:08:09,-34.5833,150.8552,63.37,54,0,3.06
119,Lovozero,RU,2022-07-15 04:08:09,68.005,35.0117,65.35,66,7,7.72
120,Mar Del Plata,AR,2022-07-15 04:06:46,-38.0023,-57.5575,55.09,97,100,1.99
121,Sarangani,PH,2022-07-15 04:08:10,5.4033,125.4636,82.72,72,90,3.65
122,Thompson,CA,2022-07-15 04:08:10,55.7435,-97.8558,64.87,46,29,5.75
123,Chokurdakh,RU,2022-07-15 04:08:11,70.6333,147.9167,68.65,45,100,10.92
124,Port Lincoln,AU,2022-07-15 04:08:11,-34.7333,135.8667,59.16,46,99,14.61
125,Olinda,BR,2022-07-15 04:08:11,-8.0089,-34.8553,73.13,88,20,6.91
126,Sehithwa,BW,2022-07-15 04:08:12,-20.4667,22.7167,52.86,45,1,5.48
127,Makakilo City,US,2022-07-15 04:08:12,21.3469,-158.0858,82.72,60,20,13.8
128,Dikson,RU,2022-07-15 04:08:13,73.5069,80.5464,43.52,76,26,11.97
129,Zelenets,RU,2022-07-15 04:08:13,61.8849,50.7489,68.41,87,94,6.15
130,Port Hardy,CA,2022-07-15 04:08:13,50.6996,-127.4199,59.68,75,100,6.69
131,Baglan,AF,2022-07-15 04:08:14,36.1307,68.7083,93.27,13,0,3.53
132,Seoul,KR,2022-07-15 04:03:44,37.5683,126.9778,87.19,48,2,8.81
133,Arona,ES,2022-07-15 04:08:14,28.0996,-16.681,73.9,58,20,4.61
134,Beringovskiy,RU,2022-07-15 04:08:15,63.05,179.3167,48.24,87,30,14.18
135,Camopi,GF,2022-07-15 04:08:15,3.1655,-52.3158,71.01,99,70,1.66
136,Benito Juarez,MX,2022-07-15 04:04:41,19.385,-99.165,62.42,70,100,6.91
137,Saint George,US,2022-07-15 04:08:16,37.1041,-113.5841,84.79,42,0,1.99
138,Kahului,US,2022-07-15 04:09:16,20.8947,-156.47,80.62,72,40,19.57
139,Padang,ID,2022-07-15 04:09:16,-0.9492,100.3543,87.85,65,100,4.14
140,Tigre,AR,2022-07-15 04:09:17,-34.426,-58.5796,53.6,93,93,2.3
141,Avarua,CK,2022-07-15 04:09:17,-21.2078,-159.775,75.25,69,20,12.66
142,Benavente,ES,2022-07-15 04:09:18,42.0025,-5.6783,71.92,25,99,12.93
143,Newport,GB,2022-07-15 04:06:55,51.5877,-2.9984,56.53,81,41,2.04
144,Yellowknife,CA,2022-07-15 04:09:18,62.456,-114.3525,57.2,69,43,17.4
145,Dum Duma,IN,2022-07-15 04:09:19,27.5667,95.5667,92.79,64,6,0.76
146,Ontario,US,2022-07-15 04:08:54,34.0633,-117.6509,85.39,64,40,9.22
147,Ust-Nera,RU,2022-07-15 04:09:19,64.5667,143.2,80.04,45,96,1.07
148,Souillac,MU,2022-07-15 04:09:19,-20.5167,57.5167,66.58,88,75,3.44
149,Gamba,GA,2022-07-15 04:09:20,-2.65,10.0,70.07,91,86,3.31
150,Hobart,AU,2022-07-15 04:07:48,-42.8794,147.3294,52.27,89,75,5.75
151,Tocopilla,CL,2022-07-15 04:09:20,-22.092,-70.1979,56.26,60,6,0.51
152,Portland,US,2022-07-15 04:08:37,45.5234,-122.6762,76.98,54,20,6.91
153,Airai,TL,2022-07-15 04:05:45,-8.9266,125.4092,70.0,53,29,4.43
154,Ilulissat,GL,2022-07-15 04:09:21,69.2167,-51.1,53.62,40,100,14.97
155,Weihe,CN,2022-07-15 04:09:21,32.9952,105.3247,79.3,82,85,6.73
156,Sabha,LY,2022-07-15 04:09:22,27.0377,14.4283,72.93,47,1,13.04
157,Kangaatsiaq,GL,2022-07-15 04:06:16,68.3065,-53.4641,40.32,91,0,14.29
158,Chateauroux,FR,2022-07-15 04:07:32,46.8167,1.7,60.8,72,0,4.61
159,Adrar,MR,2022-07-15 04:09:22,20.5022,-10.0711,92.07,29,52,10.98
160,Sobolevo,RU,2022-07-15 04:09:23,54.4299,31.8996,53.83,93,50,7.87
161,Bredy,RU,2022-07-15 04:09:23,52.4153,60.3411,77.45,60,75,5.12
162,Saint-Augustin,CA,2022-07-15 04:08:35,51.226,-58.6502,57.18,71,16,6.04
163,Ulaanbaatar,MN,2022-07-15 04:09:23,47.9077,106.8832,59.13,82,40,6.71
164,Khatanga,RU,2022-07-15 04:09:24,71.9667,102.5,57.63,45,67,6.73
165,Kanadey,RU,2022-07-15 04:09:24,53.1679,47.5264,62.33,81,48,10.27
166,Katsuura,JP,2022-07-15 04:09:24,35.1333,140.3,77.02,84,100,8.37
167,Waipawa,NZ,2022-07-15 04:09:25,-41.4122,175.5153,45.95,74,84,4.7
168,Tommot,RU,2022-07-15 04:09:25,58.9564,126.2925,85.39,47,31,3.49
169,Tuatapere,NZ,2022-07-15 04:09:26,-46.1333,167.6833,42.13,83,100,8.05
170,Moose Factory,CA,2022-07-15 04:09:26,51.2585,-80.6094,59.18,62,7,5.82
171,Mahebourg,MU,2022-07-15 04:09:26,-20.4081,57.7,70.25,88,75,3.44
172,Agadez,NE,2022-07-15 04:09:27,19.75,10.25,82.85,16,5,10.42
173,Gizycko,PL,2022-07-15 04:09:27,54.0381,21.7644,51.98,87,32,10.22
174,Yichun,CN,2022-07-15 04:09:28,47.7,128.9,74.98,61,100,11.79
175,Auki,SB,2022-07-15 04:09:28,-8.7676,160.7034,84.52,65,100,3.78
176,Mount Isa,AU,2022-07-15 04:09:29,-20.7333,139.5,67.77,21,29,12.66
177,Igrim,RU,2022-07-15 04:09:29,63.1906,64.4162,79.48,51,34,5.08
178,Hastings,GB,2022-07-15 04:09:29,50.8552,0.5729,58.17,96,78,5.1
179,Chuy,UY,2022-07-15 04:09:30,-33.6971,-53.4616,60.35,96,100,9.31
180,Bereda,ES,2022-07-15 04:09:30,43.2686,-7.5406,69.42,83,100,5.68
181,Kodiak,US,2022-07-15 04:09:30,57.79,-152.4072,62.11,77,100,0.0
182,Kruisfontein,ZA,2022-07-15 04:09:31,-34.0033,24.7314,49.17,89,3,5.06
183,Kloulklubed,PW,2022-07-15 04:05:45,7.0419,134.2556,84.7,71,97,6.76
184,Minab,IR,2022-07-15 04:10:31,27.1467,57.0801,99.75,33,93,0.36
185,Deputatskiy,RU,2022-07-15 04:10:32,69.3,139.9,73.4,39,34,7.58
186,Cap-Aux-Meules,CA,2022-07-15 04:10:32,47.3821,-61.8597,60.73,72,50,8.84
187,Tiksi,RU,2022-07-15 04:10:32,71.6872,128.8694,54.19,63,39,18.43
188,Garca,BR,2022-07-15 04:10:33,-22.2106,-49.6561,61.36,55,54,5.03
189,Mahon,ES,2022-07-15 04:10:33,39.8885,4.2658,72.16,94,0,4.61
190,Bedele,ET,2022-07-15 04:10:34,8.456,36.353,55.76,97,98,1.43
191,Mount Gambier,AU,2022-07-15 04:10:34,-37.8333,140.7667,56.17,61,94,9.15
192,Barabai,ID,2022-07-15 04:10:34,-2.5833,115.3833,82.36,72,98,2.08
193,Wewak,PG,2022-07-15 04:10:35,-3.5534,143.6268,83.12,74,100,4.83
